Designator,Mid X,Mid Y,Rotation,Layer
C1,92.075,-83.185,90.0,top
C2,92.075,-79.375,270.0,top
C3,112.014,-79.335,90.0,top
C4,110.49,-69.85,270.0,top
C5,105.41,-68.58,0.0,top
D1,99.695,-81.915,180.0,top
J1,98.281,-73.426,90.0,top
J2,74.93,-54.376,270.0,top
J3,106.934,-58.186,270.0,top
J4,114.3,-58.166,270.0,top
J5,74.93,-73.68,270.0,top
J6,90.28,-73.426,90.0,top
J7,74.93,-65.278,270.0,top
J8,104.902,-74.93,0.0,top
Q1,78.4375,-58.1,180.0,bottom
Q2,78.4075,-61.595,180.0,bottom
R1,81.28,-62.23,0.0,top
R10,74.93,-62.23,180.0,bottom
R2,78.74,-69.025,90.0,top
R3,81.28,-54.8386,180.0,top
R4,113.665,-67.31,270.0,top
R5,107.95,-70.485,90.0,top
R6,107.95,-73.66,90.0,top
R7,74.93,-60.325,180.0,bottom
R8,81.28,-58.42,270.0,bottom
R9,81.28,-61.595,270.0,bottom
SW1,81.28,-58.42,270.0,top
SW2,81.28,-66.04,270.0,top
U1,93.14,-60.76,0.0,top
U2,84.675,-81.789,180.0,top
U3,107.89,-65.091,0.0,top
U4,82.804,-72.644,180.0,top
